Constituency,Surname,First Name,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,Year,Full Name
Cork North-Central,O'Brien,Jonathan,M,Sinn Féin,S.F.,11,0,0,6231,Elected,169,5,Corcaigh Thuaidh-Lár,2016,Jonathan O'Brien
Dublin Bay North,O'Brien,Michael,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,15,0,506,2236,Excluded,172,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Michael O'Brien
Clare,O'Brien,Niamh,F,Fís Nua,F.N.,12,0,1635,1154,Excluded,173,3,An Clár,2016,Niamh O'Brien
Dún Laoghaire,O'Brien,Shane,M,Sinn Féin,S.F.,7,0,494,3167,Excluded,239,21,Dún Laoghaire,2016,Shane O'Brien
Dublin Bay North,O'Callaghan,Cian,M,Social Democrats,S.D.,15,0,0,3864,Excluded,173,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Cian O'Callaghan
Dublin Bay South,O'Callaghan,Jim,M,Fianna Fáil,F.F.,8,1020,0,4575,Elected,184,17,Cuan Bhaile Átha Cliath Theas,2016,Jim O'Callaghan
Dublin Bay North,O'Conaráin,Proinsias,M,Non-Party,NON-P.,15,0,2964,104,Excluded,174,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Proinsias O'Conaráin
Cavan-Monaghan,O'Connell,Aoife,F,Direct Democracy Ireland,D.D.I.,10,0,2691,279,Excluded,167,2,An Cabhán-Muineachán,2016,Aoife O'Connell
Dublin Fingal,O'Connell,Fergal,M,Non-Party,NON-P.,10,0,2465,51,Excluded,172,14,Baile Átha Cliath - Fine Gall,2016,Fergal O'Connell
Cork South-Central,O'Connell,Jim,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,1905,795,Excluded,255,7,Corcaigh Theas-Lár,2016,Jim O'Connell
Dublin Bay South,O'Connell,Kate,F,Fine Gael,F.G.,8,1394,0,5399,Elected,188,17,Cuan Bhaile Átha Cliath Theas,2016,Kate O'Connell
Limerick City,O'Dea,Willie,M,Fianna Fáil,F.F.,6,0,0,12999,Elected,166,28,Cathair Luimnigh,2016,Willie O'Dea
Kerry,O'Donnell,Grace,F,Fine Gael,F.G.,11,0,2450,776,Excluded,174,24,Ciarraí,2016,Grace O'Donnell
Limerick City,O'Donnell,Kieran,M,Fine Gael,F.G.,6,1504,0,6047,Excluded,167,28,Cathair Luimnigh,2016,Kieran O'Donnell
Limerick County,O'Donoghue,Richard,M,Non-Party,NON-P.,6,0,0,2855,Excluded,166,29,Contae Luimnigh,2016,Richard O'Donoghue
Dublin South-West,O'Donovan,Deirdre,F,Non-Party,NON-P.,16,0,233,2197,Excluded,216,19,Baile Átha Cliath Thiar Theas,2016,Deirdre O'Donovan
Limerick County,O'Donovan,Patrick,M,Fine Gael,F.G.,6,813,0,8479,Elected,167,29,Contae Luimnigh,2016,Patrick O'Donovan
Louth,O'Dowd,Fergus,M,Fine Gael,F.G.,11,1999,0,6814,Elected,172,31,Lú,2016,Fergus O'Dowd
Louth,O'Dowd,Michael,M,Renua Ireland,R.I.,11,0,572,2095,Excluded,173,31,Lú,2016,Michael O'Dowd
Dublin Central,O'Dwyer,Diana,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,572,721,Excluded,170,11,Baile Átha Cliath Láir,2016,Diana O'Dwyer
Cork North-West,O'Flynn,Diarmuid,M,Non-Party,NON-P.,9,0,6,2159,Excluded,184,6,Corcaigh Thiar Thuaidh,2016,Diarmuid O'Flynn
Dublin South-West,O'Gorman,Frank,M,Non-Party,NON-P.,16,0,2745,59,Excluded,217,19,Baile Átha Cliath Thiar Theas,2016,Frank O'Gorman
Limerick County,O'Gorman,John,M,Non-Party,NON-P.,6,0,2558,207,Excluded,168,29,Contae Luimnigh,2016,John O'Gorman
Kerry,O'Gorman,Michael Pixie,M,Non-Party,NON-P.,11,0,1630,1236,Excluded,175,24,Ciarraí,2016,Michael Pixie O'Gorman
Dublin West,O'Gorman,Roderic,M,Green Party/ Comhaontas Glas,G.P.,5,0,0,1730,Excluded,185,20,Baile Átha Thiar,2016,Roderic O'Gorman
Sligo-Leitrim,O'Hara,Bernie,F,Non-Party,NON-P.,15,0,1648,1206,Excluded,171,35,Sligeach-Liatroim,2016,Bernie O'Hara
Sligo-Leitrim,O'Hora,Leslie V. John,M,Green Party/ Comhaontas Glas,G.P.,15,0,2499,603,Excluded,172,35,Sligeach-Liatroim,2016,Leslie V. John O'Hora
Cork  East,O'Keeffe,Kevin,M,Fianna Fáil,F.F.,10,0,0,8264,Elected,168,4,Corcaigh Thoir,2016,Kevin O'Keeffe
Sligo-Leitrim,O'Keeffe,Susan,F,The Labour Party,LAB.,15,0,926,1829,Excluded,173,35,Sligeach-Liatroim,2016,Susan O'Keeffe
Cork North-Central,O'Leary,Julie,F,Fine Gael,F.G.,11,0,0,3841,Excluded,170,5,Corcaigh Thuaidh-Lár,2016,Julie O'Leary
Cork North-Central,O'Leary,Paddy,M,Renua Ireland,R.I.,11,0,843,1120,Excluded,171,5,Corcaigh Thuaidh-Lár,2016,Paddy O'Leary
Kildare South,O'Loughlin,Fiona,F,Fianna Fáil,F.F.,6,223,0,6906,Elected,180,187,Cill Dara Theas,2016,Fiona O'Loughlin
Cork North-Central,O'Loughlin,Peter,M,Non-Party,NON-P.,11,0,2341,183,Excluded,172,5,Corcaigh Thuaidh-Lár,2016,Peter O'Loughlin
Mayo,O'Malley,George,M,Non-Party,NON-P.,10,0,2882,262,Excluded,173,32,Maigh Eo,2016,George O'Malley
Meath East,O'Neill,Aisling,F,Social Democrats,S.D.,9,0,125,1715,Excluded,186,34,An Mhí Thoir,2016,Aisling O'Neill
Dublin Bay North,O'Neill,Damien,M,Non-Party,NON-P.,15,0,1551,1446,Excluded,176,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Damien O'Neill
Galway West,O'Neill,Ruairí,M,Direct Democracy Ireland,D.D.I.,14,0,2527,152,Excluded,176,23,Gaillimh Thiar,2016,Ruairí O'Neill
Cavan-Monaghan,O'Reilly,Joe,M,Fine Gael,F.G.,10,3141,0,6566,,168,2,An Cabhán-Muineachán,2016,Joe O'Reilly
Dublin Fingal,O'Reilly,Louise,F,Sinn Féin,S.F.,10,1294,0,5228,Elected,173,14,Baile Átha Cliath - Fine Gall,2016,Louise O'Reilly
Cork North-West,O'Riordan,Steven,M,Non-Party,NON-P.,9,0,1208,1361,Excluded,185,6,Corcaigh Thiar Thuaidh,2016,Steven O'Riordan
Meath East,O'Rourke,Darren,M,Sinn Féin,S.F.,9,1792,0,5780,Excluded,187,34,An Mhí Thoir,2016,Darren O'Rourke
Kildare North,O'Rourke,Frank,M,Fianna Fáil,F.F.,9,1309,0,6341,Elected,170,26,Cill Dara Thuaidh,2016,Frank O'Rourke
Sligo-Leitrim,O'Rourke,Paddy,M,Fianna Fáil,F.F.,15,0,0,5447,Excluded,174,35,Sligeach-Liatroim,2016,Paddy O'Rourke
Cork North-West,O'Shea,John Paul,M,Non-Party,NON-P.,9,2060,0,4814,,183,6,Corcaigh Thiar Thuaidh,2016,John Paul O'Shea
Kildare North,O'Sullivan,Elizabeth,F,Non-Party,NON-P.,9,0,2329,99,Excluded,171,26,Cill Dara Thuaidh,2016,Elizabeth O'Sullivan
Waterford,O'Sullivan,Grace,F,Green Party/ Comhaontas Glas,G.P.,9,0,0,2237,Excluded,168,38,Port  Lairge,2016,Grace O'Sullivan
Limerick City,O'Sullivan,Jan,F,The Labour Party,LAB.,6,1166,0,5227,Elected,168,28,Cathair Luimnigh,2016,Jan O'Sullivan
Cork North-West,O'Sullivan,Jerry,M,Non-Party,NON-P.,9,0,2458,478,Excluded,206,6,Corcaigh Thiar Thuaidh,2016,Jerry O'Sullivan
Dublin Central,O'Sullivan,Maureen,F,Non-Party,NON-P.,11,653,0,1990,Elected,171,11,Baile Átha Cliath Láir,2016,Maureen O'Sullivan
Longford-Westmeath,Parker,Dominic,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,15,0,2172,506,Excluded,240,30,An Longfort-An Iarmhí,2016,Dominic Parker
Longford-Westmeath,Penrose,Willie,M,The Labour Party,LAB.,15,2545,0,4817,Elected,241,30,An Longfort-An Iarmhí,2016,Willie Penrose
Dublin Central,Perry,Cieran,M,Non-Party,NON-P.,11,0,0,1242,Excluded,172,11,Baile Átha Cliath Láir,2016,Cieran Perry
Sligo-Leitrim,Perry,John,M,Fine Gael,F.G.,15,0,0,4403,Excluded,175,35,Sligeach-Liatroim,2016,John Perry
Cork South-West,Pettit O’leary,Fiona,F,Non-Party,NON-P.,5,0,2281,423,Excluded,202,8,Corcaigh Thiar Theas,2016,Fiona Pettit O’leary
Carlow-Kilkenny,Phelan,Ann,F,The Labour Party,LAB.,11,0,0,4391,Excluded,171,1,Ceatharlach-Cill Chainnigh,2016,Ann Phelan
Carlow-Kilkenny,Phelan,John Paul,M,Fine Gael,F.G.,11,0,0,7568,Elected,172,1,Ceatharlach-Cill Chainnigh,2016,John Paul Phelan
Cork South-West,Powell,Gillian,F,Non-Party,NON-P.,5,0,2003,701,Excluded,203,8,Corcaigh Thiar Theas,2016,Gillian Powell
Dublin Bay North,Power,Averil,F,Non-Party,NON-P.,15,0,0,4911,Excluded,178,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Averil Power
Waterford,Power,Mailo,F,Renua Ireland,R.I.,9,0,1499,862,Excluded,169,38,Port  Lairge,2016,Mailo Power
Limerick City,Prendiville,Cian,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,6,0,0,4584,Excluded,169,28,Cathair Luimnigh,2016,Cian Prendiville
Donegal,Pringle,Thomas,M,Non-Party,NON-P.,13,2136,0,6220,Elected,174,9,Dún na nGall,2016,Thomas Pringle
Dublin South-West,Quigley,Kieran Adam,M,Non-Party,NON-P.,16,0,2475,317,Excluded,218,19,Baile Átha Cliath Thiar Theas,2016,Kieran Adam Quigley
Waterford,Quilty,Edward,M,Direct Democracy Ireland,D.D.I.,9,0,2391,194,Excluded,170,38,Port  Lairge,2016,Edward Quilty
Limerick City,Quinlivan,Maurice,M,Sinn Féin,S.F.,6,0,0,5894,Elected,170,28,Cathair Luimnigh,2016,Maurice Quinlivan
Galway East,Rabbitte,Anne,F,Fianna Fáil,F.F.,7,0,0,6928,Elected,168,22,Gaillimh Thoir,2016,Anne Rabbitte
Dublin Bay North,Regan,Stephanie Bernadette,F,Fine Gael,F.G.,15,0,1111,1857,Excluded,179,13,Cuan Bhaile Átha Cliath Thuaidh,2016,Stephanie Bernadette Regan
Dublin Fingal,Reilly,James,M,Fine Gael,F.G.,10,3850,0,4666,Excluded,174,14,Baile Átha Cliath - Fine Gall,2016,James Reilly
Cavan-Monaghan,Reilly,Kathryn,F,Sinn Féin,S.F.,10,0,0,6066,Excluded,169,2,An Cabhán-Muineachán,2016,Kathryn Reilly
Sligo-Leitrim,Reynolds,Gerard,M,Fine Gael,F.G.,15,2051,0,6672,Excluded,176,35,Sligeach-Liatroim,2016,Gerard Reynolds
Mayo,Ring,Michael,M,Fine Gael,F.G.,10,0,0,11275,Elected,174,32,Maigh Eo,2016,Michael Ring
Limerick City,Riordan,Denis,M,Non-Party,NON-P.,6,0,2251,78,Excluded,171,28,Cathair Luimnigh,2016,Denis Riordan
Galway East,Roche,Annemarie,F,Sinn Féin,S.F.,7,0,0,2683,Excluded,169,22,Gaillimh Thoir,2016,Annemarie Roche
Dublin North-West,Rock,Noel,M,Fine Gael,F.G.,9,1690,0,4642,Elected,169,15,Baile Átha Cliath Thiar Thuaidh,2016,Noel Rock
Galway West,Roddy,Tommy,M,Non-Party,NON-P.,14,0,2428,251,Excluded,178,23,Gaillimh Thiar,2016,Tommy Roddy
Dublin Rathdown,Ross,Shane,M,Non-Party,NON-P.,6,0,0,10202,Elected,228,18,Baile Átha Cliath-Ráth an Dúin,2016,Shane Ross
Dublin Fingal,Ryan,Brendan,M,The Labour Party,LAB.,10,659,0,6009,Elected,175,14,Baile Átha Cliath - Fine Gall,2016,Brendan Ryan
Dublin Bay South,Ryan,Eamon,M,Green Party/ Comhaontas Glas,G.P.,8,0,0,4529,Elected,189,17,Cuan Bhaile Átha Cliath Theas,2016,Eamon Ryan
Dublin Central,Ryan,Éilis,F,Workers Party,W.P.,11,0,1165,303,Excluded,173,11,Baile Átha Cliath Láir,2016,Éilis Ryan
Cork South-Central,Ryan,Fiona,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,903,937,Excluded,257,7,Corcaigh Theas-Lár,2016,Fiona Ryan
Kildare South,Ryan,Patricia,F,Sinn Féin,S.F.,6,0,0,4267,Excluded,181,187,Cill Dara Theas,2016,Patricia Ryan
Offaly,Ryan-Feehan,Teresa,F,Non-Party,NON-P.,7,0,2137,603,Excluded,170,37,Uíbh Fhailí,2016,Teresa Ryan-Feehan
Sligo-Leitrim,Scanlon,Eamon,M,Fianna Fáil,F.F.,15,1646,0,5874,Elected,177,35,Sligeach-Liatroim,2016,Eamon Scanlon
Longford-Westmeath,Sexton,Mae,F,Non-Party,NON-P.,15,0,868,1646,Excluded,242,30,An Longfort-An Iarmhí,2016,Mae Sexton
Dublin Rathdown,Shatter,Alan,M,Fine Gael,F.G.,6,1831,0,5905,,229,18,Baile Átha Cliath-Ráth an Dúin,2016,Alan Shatter
Mayo,Sheehan,Margaret (Mags),F,Green Party/ Comhaontas Glas,G.P.,10,0,2503,629,Excluded,175,32,Maigh Eo,2016,Margaret (Mags) Sheehan
Donegal,Sheils,Dessie,M,Non-Party,NON-P.,13,0,0,3724,Excluded,175,9,Dún na nGall,2016,Dessie Sheils
Galway West,Sheridan,Séamus,M,Green Party/ Comhaontas Glas,G.P.,14,0,865,1588,Excluded,179,23,Gaillimh Thiar,2016,Séamus Sheridan
Cork  East,Sherlock,Sean,M,The Labour Party,LAB.,10,0,0,6949,Elected,163,4,Corcaigh Thoir,2016,Sean Sherlock
Dublin North-West,Shortall,Róisín,F,Social Democrats,S.D.,9,0,0,10540,Elected,170,15,Baile Átha Cliath Thiar Thuaidh,2016,Róisín Shortall
Dublin South-West,Sinclair,Stephen,M,Direct Democracy Ireland,D.D.I.,16,0,2419,359,Excluded,219,19,Baile Átha Cliath Thiar Theas,2016,Stephen Sinclair
Clare,Siro Hakizimana,Andres,M,Non-Party,NON-P.,12,0,2781,70,Excluded,174,3,An Clár,2016,Andres Siro Hakizimana
Cavan-Monaghan,Smith,Brendan,M,Fianna Fáil,F.F.,10,0,0,8775,Elected,170,2,An Cabhán-Muineachán,2016,Brendan Smith
Dublin South-Central,Smith,Bríd,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,693,0,4374,Elected,172,16,Baile Átha Cliath Theas-Lár,2016,Bríd Smith
Cavan-Monaghan,Smith,Emmett,M,Non-Party,NON-P.,10,0,2725,245,Excluded,171,2,An Cabhán-Muineachán,2016,Emmett Smith
Clare,Smith,Fergal,M,Green Party/ Comhaontas Glas,G.P.,12,0,658,1700,Excluded,175,3,An Clár,2016,Fergal Smith
Tipperary,Smith,Michael,M,Fianna Fáil,F.F.,7,0,0,6718,Excluded,172,36,Tiobraid Árann,2016,Michael Smith
Offaly,Smollen,Ken,M,Irish Democratic Party,I.D.P.,7,0,1754,971,Excluded,171,37,Uíbh Fhailí,2016,Ken Smollen
Longford-Westmeath,Smyth,Barbara,F,Non-Party,NON-P.,15,0,2451,296,Excluded,243,30,An Longfort-An Iarmhí,2016,Barbara Smyth
Dún Laoghaire,Smyth,Carrie,F,The Labour Party,LAB.,7,0,0,5192,Excluded,240,21,Dún Laoghaire,2016,Carrie Smyth
Dublin Central,Smyth,Ian Noel,M,Green Party/ Comhaontas Glas,G.P.,11,0,785,644,Excluded,174,11,Baile Átha Cliath Láir,2016,Ian Noel Smyth
Cavan-Monaghan,Smyth,Mary,F,Non-Party,NON-P.,10,0,643,1589,Excluded,172,2,An Cabhán-Muineachán,2016,Mary Smyth
Cavan-Monaghan,Smyth,Niamh,F,Fianna Fáil,F.F.,10,2287,0,6268,Elected,173,2,An Cabhán-Muineachán,2016,Niamh Smyth
Dún Laoghaire,Smyth,Ossian,M,Green Party/ Comhaontas Glas,G.P.,7,0,0,3478,Excluded,241,21,Dún Laoghaire,2016,Ossian Smyth
Kerry,Spring,Arthur J.,M,The Labour Party,LAB.,11,0,0,4813,Excluded,176,24,Ciarraí,2016,Arthur J. Spring
Kildare North,Stagg,Emmet,M,The Labour Party,LAB.,9,0,0,4087,Excluded,172,26,Cill Dara Thuaidh,2016,Emmet Stagg
Laois,Stanley,Brian,M,Sinn Féin,S.F.,3,0,0,8242,Elected,164,27,Laois,2016,Brian Stanley
Cork  East,Stanton,David,M,Fine Gael,F.G.,10,0,0,7171,Elected,166,4,Corcaigh Thoir,2016,David Stanton
Limerick County,Storey-Cosgrave,Alexander,M,Green Party/ Comhaontas Glas,G.P.,6,0,2456,311,Excluded,169,29,Contae Luimnigh,2016,Alexander Storey-Cosgrave
Dublin South-West,Summerville-Molloy,Joan,F,Non-Party,NON-P.,16,0,2692,112,Excluded,220,19,Baile Átha Cliath Thiar Theas,2016,Joan Summerville-Molloy
Sligo-Leitrim,Sweeney,Bernard,M,Non-Party,NON-P.,15,0,2989,129,Excluded,178,35,Sligeach-Liatroim,2016,Bernard Sweeney
Dublin Bay South,Tierney,Eoin,M,Non-Party,NON-P.,8,0,1835,151,Excluded,190,17,Cuan Bhaile Átha Cliath Theas,2016,Eoin Tierney
Wicklow,Timmins,Billy,M,Renua Ireland,R.I.,10,3109,0,5510,,175,41,Cill Mhantáin,2016,Billy Timmins
Dublin Mid-West,Timmons,Francis,M,Non-Party,NON-P.,12,0,734,1085,Excluded,200,643,Baile Átha Cliath Thiar-Meán,2016,Francis Timmons
Meath West,Tóibín,Peadar,M,Sinn Féin,S.F.,6,0,0,9442,Elected,186,39,An Mhí Thiar,2016,Peadar Tóibín
Longford-Westmeath,Troy,Robert,M,Fianna Fáil,F.F.,15,0,0,11653,Elected,244,30,An Longfort-An Iarmhí,2016,Robert Troy
Dublin Mid-West,Tuffy,Joanna,F,The Labour Party,LAB.,12,0,0,2146,Excluded,201,643,Baile Átha Cliath Thiar-Meán,2016,Joanna Tuffy
Cork North-Central,Tynan,Ted,M,Workers Party,W.P.,11,0,640,1419,Excluded,173,5,Corcaigh Thuaidh-Lár,2016,Ted Tynan
Meath East,Tyrrell,Sarah,F,Renua Ireland,R.I.,9,0,2025,523,Excluded,189,34,An Mhí Thoir,2016,Sarah Tyrrell
Dublin West,Varadkar,Leo,M,Fine Gael,F.G.,5,0,0,8247,Elected,186,20,Baile Átha Thiar,2016,Leo Varadkar
Wexford,Wadding,Deirdre,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,14,0,1144,1472,Excluded,174,40,Loch Garman,2016,Deirdre Wadding
Kildare South,Wall,Mark,M,The Labour Party,LAB.,6,2333,0,4277,Excluded,182,187,Cill Dara Theas,2016,Mark Wall
Carlow-Kilkenny,Wallace,Adrienne,F,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,576,1582,Excluded,173,1,Ceatharlach-Cill Chainnigh,2016,Adrienne Wallace
Wexford,Wallace,Mick,M,Independents 4 Change,I.4.C,14,0,0,7917,Elected,175,40,Loch Garman,2016,Mick Wallace
Wexford,Walsh,Ann,F,Green Party/ Comhaontas Glas,G.P.,14,0,1894,1056,Excluded,176,40,Loch Garman,2016,Ann Walsh
Waterford,Walsh,John D,M,Non-Party,NON-P.,9,0,1691,858,Excluded,171,38,Port  Lairge,2016,John D Walsh
Carlow-Kilkenny,Walsh,Noel G.,M,Non-Party,NON-P.,11,0,2754,164,Excluded,174,1,Ceatharlach-Cill Chainnigh,2016,Noel G. Walsh
Dublin South-West,Warren,Karen,F,Fine Gael,F.G.,16,0,1699,1088,Excluded,221,19,Baile Átha Cliath Thiar Theas,2016,Karen Warren
Louth,Weldon,Garrett,M,Anti-Austerity Alliance - People Before Profit,AAA-PBP,11,0,0,3462,Excluded,174,31,Lú,2016,Garrett Weldon
Laois,Whelan,John,M,The Labour Party,LAB.,3,5822,0,2856,,165,27,Laois,2016,John Whelan
Dublin Rathdown,White,Alex,M,The Labour Party,LAB.,6,0,0,4048,Excluded,230,18,Baile Átha Cliath-Ráth an Dúin,2016,Alex White
Dublin Rathdown,White,Mary,F,Fianna Fáil,F.F.,6,0,0,4220,Excluded,231,18,Baile Átha Cliath-Ráth an Dúin,2016,Mary White
Dún Laoghaire,Whitehead,Raymond,M,Direct Democracy Ireland,D.D.I.,7,0,3490,213,Excluded,242,21,Dún Laoghaire,2016,Raymond Whitehead
Cavan-Monaghan,Wilson,John,M,Non-Party,NON-P.,10,0,1812,1023,Excluded,174,2,An Cabhán-Muineachán,2016,John Wilson
Louth,Yore,Maeve,F,Non-Party,NON-P.,11,0,0,2746,Excluded,175,31,Lú,2016,Maeve Yore
Kildare North,Young,Brendan,M,Non-Party,NON-P.,9,0,590,1200,Excluded,173,26,Cill Dara Thuaidh,2016,Brendan Young
Dublin South-West,Zappone,Katherine,F,Non-Party,NON-P.,16,1557,0,4463,Elected,222,19,Baile Átha Cliath Thiar Theas,2016,Katherine Zappone
