Constituency Ainm,Year,Full Name,,
Meath West,2016,Trevor Golden,M,Excluded
Dublin Central,2016,William  D.j. Gorman,M,Excluded
Dublin Bay South,2016,William D.j. Gorman,M,Excluded
Cork North-Central,2016,Thomas Gould,M,Excluded
Galway West,2016,Noel Grealish,M,Elected
Louth,2016,Patrick Greene,M,Excluded
Kerry,2016,Brendan Griffin,M,Elected
Cork North-West,2016,Shirley Griffin,F,Excluded
Sligo-Leitrim,2016,Des Guckian,M,Excluded
Dublin Bay North,2016,Jimmy Guerin,M,Excluded
Dublin Central,2016,Kerry Guinan,F,Excluded
Waterford,2016,John Halligan,M,Elected
Dún Laoghaire,2016,Mary Hanafin,F,
Dublin South-Central,2016,Paul Hand,M,Excluded
Meath East,2016,Dominic Hannigan,M,Excluded
Offaly,2016,Joe Hannigan,M,Excluded
Cork South-West,2016,Noel Harrington,M,
Cork South-Central,2016,Joe Harris,M,Excluded
Wicklow,2016,Simon Harris,M,Elected
Donegal,2016,Paddy Harte,M,Excluded
Clare,2016,Michael Harty,M,Elected
Cork  East,2016,Natasha Harty,F,Excluded
Dublin Bay North,2016,Seán Haughey,M,Elected
Limerick City,2016,Des Hayes,M,Excluded
Tipperary,2016,Tom Hayes,M,
Dublin Mid-West,2016,Christopher Healy,M,Excluded
Tipperary,2016,Seamus Healy,M,Elected
Longford-Westmeath,2016,Stephanie Healy,F,Excluded
Galway West,2016,Dr. Fidelma Healy Eames,F,Excluded
Kerry,2016,Danny Healy-Rae,M,Elected
Kerry,2016,Michael Healy-Rae,M,Elected
Cork South-West,2016,Theresa Heaney,F,Excluded
Limerick County,2016,James Heffernan,M,Excluded
Dublin Bay North,2016,Deirdre Heney,F,Excluded
Limerick City,2016,Sarah Jane Hennelly,F,Excluded
Dublin Mid-West,2016,Lorraine Hennessy,F,Excluded
Roscommon-Galway,2016,Miriam Hennessy,F,Excluded
Kildare South,2016,Martin Heydon,M,Elected
Galway East,2016,Lorraine Higgins,F,Excluded
Galway West,2016,Mary Hoade,F,Excluded
Wexford,2016,Julie Hogan,F,Excluded
Longford-Westmeath,2016,Paul Hogan,M,
Dublin South-West,2016,Sarah Holland,F,Excluded
Galway West,2016,Tommy Holohan,M,Excluded
Roscommon-Galway,2016,Maura Hopkins,F,
Cork South-Central,2016,Elizabeth Hourihane,F,Excluded
Clare,2016,Mary Howard,F,Excluded
Wexford,2016,Brendan Howlin,M,Elected
Dublin North-West,2016,Bernie Hughes,F,Excluded
Cavan-Monaghan,2016,Heather Humphreys,F,Elected
Dublin Bay South,2016,Kevin Humphreys,M,
Dún Laoghaire,2016,Carol Hunt,F,Excluded
Wicklow,2016,Katrina Hutchinson,F,Excluded
Longford-Westmeath,2016,Donal Jackson,M,Excluded
Donegal,2016,Tim Jackson,M,Excluded
Mayo,2016,Peter Jordan,M,Excluded
Mayo,2016,Mohammad Kamal Uddin,M,Excluded
Wicklow,2016,Bob Kearns,M,Excluded
Dublin South-West,2016,Pamela Kearns,F,Excluded
Dublin Mid-West,2016,Derek Keating,M,Excluded
Galway East,2016,Colm Keaveney,M,Excluded
Wicklow,2016,Charlie Keddy,M,Excluded
Dublin North-West,2016,Andrew Keegan,M,Excluded
Wexford,2016,Paul Kehoe,M,Elected
Dublin Bay South,2016,John Dominic Keigher,M,Excluded
Cork North-Central,2016,Billy Kelleher,M,Elected
Dublin Fingal,2016,Terry Kelleher,M,Excluded
Tipperary,2016,Alan Kelly,M,Elected
Roscommon-Galway,2016,John Kelly,M,Excluded
Wexford,2016,Leonard Kelly,M,Excluded
Cork South-Central,2016,Ciarán Kenneally,M,Excluded
Kildare South,2016,Mary Kennedy,F,Excluded
Donegal,2016,Niamh Kennedy,F,Excluded
Mayo,2016,Enda Kenny,M,Elected
Dublin Mid-West,2016,Gino Kenny,M,Elected
Sligo-Leitrim,2016,Martin Kenny,M,Elected
Meath East,2016,Sharon Keogan,F,Excluded
Limerick County,2016,Mark Keogh,M,Excluded
Cork North-Central,2016,Ger Keohane,M,Excluded
Roscommon-Galway,2016,Claire Kerrane,F,Excluded
Dublin Mid-West,2016,Dr. Haroon Khan,M,Excluded
Cork North-Central,2016,Thomas Kiely,M,Excluded
Dublin Mid-West,2016,Tom Kivlehan,M,Excluded
Galway West,2016,Seán Kyne,M,Elected
Dublin South-West,2016,John Lahart,M,Elected
Meath West,2016,Alan Lawes,M,Excluded
Kildare North,2016,James Lawless,M,Elected
Kildare North,2016,Anthony Lawlor,M,Excluded
Offaly,2016,John Leahy,M,Excluded
Dublin Mid-West,2016,Clare Leonard,F,Excluded
Cork  East,2016,Ciara Leonardi-Roche,F,Excluded
Cork  East,2016,Mary Linehan-Foley,F,Excluded
Wexford,2016,David Lloyd,M,Excluded
Tipperary,2016,Michael Lowry,M,Elected
Cork South-Central,2016,Ciarán Lynch,M,Excluded
Dublin Bay South,2016,Glenna Lynch,F,Excluded
Clare,2016,Ian Lynch,M,Excluded
Cork North-Central,2016,Kathleen Lynch,F,Excluded
Dublin Bay North,2016,John Lyons,M,Excluded
Dublin North-West,2016,John Lyons,M,Excluded
Carlow-Kilkenny,2016,Conor Mac Liam,M,Excluded
Sligo-Leitrim,2016,Chris Mac Manus,M,Excluded
Dublin Bay North,2016,Mícheál Macdonncha,M,Excluded
Donegal,2016,Pádraig MacLochlainn,M,Excluded
Sligo-Leitrim,2016,Marc MacSharry,M,Elected
Dublin Bay South,2016,Alan Macstiofain,M,Excluded
Dublin Rathdown,2016,Josepha Madigan,F,Elected
Longford-Westmeath,2016,Manchán Magan,M,Excluded
Meath West,2016,John Malone,M,Excluded
Wexford,2016,David Maloney,M,Excluded
Dublin South-West,2016,Eamonn Maloney,M,Excluded
Cork North-West,2016,Cormac Manning,M,Excluded
Carlow-Kilkenny,2016,Paddy Manning,M,Excluded
Mayo,2016,Stephen Manning,M,Excluded
Dublin Fingal,2016,Barry Martin,M,Excluded
Dublin Rathdown,2016,Catherine Martin,F,Elected
Cork South-Central,2016,Micheál Martin,M,Elected
Dublin Rathdown,2016,Peter Mathews,M,Excluded
Wicklow,2016,Steven Matthews,M,Excluded
Dublin North-West,2016,Paul Mcauliffe,M,Excluded
Donegal,2016,Frank McBrearty,M,Excluded
Cork  East,2016,Kieran McCarthy,M,Excluded
Cork South-West,2016,Michael McCarthy,M,Excluded
Cork  East,2016,Noel McCarthy,M,Excluded
Cork South-West,2016,Rachel McCarthy,F,Excluded
Donegal,2016,Charlie McConalogue,M,Elected
Cavan-Monaghan,2016,Michael McDermott,M,Excluded
Clare,2016,Michael Malty McDonagh,M,Excluded
Meath East,2016,Seamus McDonagh,M,Excluded
Dublin Central,2016,Mary Lou McDonald,F,Elected
Meath West,2016,Tracy McElhinney,F,Excluded
Kildare South,2016,Suzanne McEneaney,F,Excluded
Meath East,2016,Helen McEntee,F,Elected
Longford-Westmeath,2016,Gabrielle McFadden,F,Excluded
Donegal,2016,Ian McGarvey,M,Excluded
Dublin Bay North,2016,Finian McGrath,M,Elected
Tipperary,2016,Mattie McGrath,M,Elected
Cork South-Central,2016,Michael McGrath,M,Elected
Dublin West,2016,David McGuinness,M,Excluded
Carlow-Kilkenny,2016,John McGuinness,M,Elected
Donegal,2016,Joe McHugh,M,Elected
Dublin Central,2016,Cormac McKay,M,Excluded
Dublin North-West,2016,Cormac McKay,M,Excluded
Carlow-Kilkenny,2016,Patrick McKee,M,Excluded
Longford-Westmeath,2016,Noel McKervey,M,Excluded
Sligo-Leitrim,2016,Tony McLoughlin,M,Elected
Kildare South,2016,Fiona McLoughlin Healy,F,Excluded
Dublin South-West,2016,Ronan McMahon,M,Excluded
Meath West,2016,Séamus McMenamin,M,Excluded
Dublin Mid-West,2016,Anne-Marie McNally,F,
Clare,2016,Michael McNamara,M,Excluded
Cavan-Monaghan,2016,James Mee,M,Excluded
Galway East,2016,Aengus Melia,M,Excluded
Kildare North,2016,Ashling Merriman,F,Excluded
Longford-Westmeath,2016,James Miller,M,Excluded
Dublin Bay North,2016,Denise Mitchell,F,Elected
Dún Laoghaire,2016,Mary Mitchell O'Connor,F,Elected
Cork South-Central,2016,Michael Joseph Mohally,M,Excluded
Dublin Fingal,2016,Dr. Gerry Molloy,M,Excluded
Dublin Bay South,2016,Annette Mooney,F,Excluded
Donegal,2016,Michael Mooney,M,Excluded
Laois,2016,Sinead Moore,F,Excluded
Longford-Westmeath,2016,Kevin 'Boxer' Moran,M,Elected
Louth,2016,Mary Moran,F,Excluded
Clare,2016,Noeleen Moran,F,Excluded
Cork North-Central,2016,Oliver Moran,M,Excluded
Mayo,2016,Tom Moran,M,Excluded
Longford-Westmeath,2016,James Morgan,M,Excluded
Kerry,2016,Norma Moriarty,F,Excluded
Tipperary,2016,Séamus Séan Morris,M,Excluded
Cork North-West,2016,Aindrias Moynihan,M,Elected
Cork North-West,2016,Michael Moynihan,M,Elected
Mayo,2016,Michelle Mulherin,F,
Clare,2016,Dermot Mulqueen,M,Excluded
Louth,2016,Imelda Munster,F,Elected
Carlow-Kilkenny,2016,Jennifer Murnane-O'Connor,F,
Kildare North,2016,Catherine Murphy,F,Elected
Cork North-Central,2016,Dara Murphy,M,Elected
Dublin Bay South,2016,Eoghan Murphy,M,Elected
Roscommon-Galway,2016,Eugene Murphy,M,Elected
Kerry,2016,Kevin Murphy,M,Excluded
Tipperary,2016,Marie Murphy,F,Excluded
Cork North-Central,2016,Mick Murphy,M,Excluded
Dublin South-West,2016,Paul Murphy,M,Elected
Dublin Fingal,2016,Tony Murphy,M,Excluded
Cork South-West,2016,Margaret Murphy O'Mahony,F,Elected
Sligo-Leitrim,2016,Eamon Murray,M,Excluded
Dublin South-Central,2016,Richard Murray,M,Excluded
Wexford,2016,John Mythen,M,Excluded
Louth,2016,Ged Nash,M,
Roscommon-Galway,2016,Denis Naughten,M,Elected
Galway West,2016,Hildegarde Naughton,F,Elected
Limerick County,2016,Tom Neville,M,Elected
Galway East,2016,Máiréad Ní Chróinín,F,Excluded
Kildare North,2016,Maebh Ní Fhallúin,F,Excluded
Dublin Rathdown,2016,Sorcha Nic Cormaic,F,Excluded
Donegal,2016,Cordelia NicFhearraigh,F,Excluded
Offaly,2016,Carol Nolan,F,Elected
Galway West,2016,Derek Nolan,M,Excluded
Carlow-Kilkenny,2016,Malcolm Noonan,M,Excluded
Limerick City,2016,Michael Noonan,M,Elected
Dublin West,2016,Catherine Noone,F,Excluded
Clare,2016,Ann Norton,F,Excluded
Dublin Mid-West,2016,Eoin Ó Broin,M,Elected
Meath East,2016,Seán Ó Buachalla,M,Excluded
Cork South-Central,2016,Diarmaid Ó Cadhla,M,Excluded
Cavan-Monaghan,2016,Caoimhghín Ó Caoláin,M,Elected
Kildare South,2016,Seán Ó Fearghaíl,M,Elected
Dublin South-Central,2016,Oisín Ó Halmhain,M,Excluded
Cork South-Central,2016,Donnchadh Uinseann Ó Laoghaire,M,Elected
Galway West,2016,John O Mahony,M,Excluded
Dublin Bay North,2016,Naoise Ó Muirí,M,Excluded
Dublin Bay North,2016,Aodhán Ó Ríordáin,M,
Dublin South-Central,2016,Aengus Ó Snodaigh,M,Elected
Galway West,2016,Niall Ó Tuathail,M,Excluded
Cork North-West,2016,Michael O’ Donnell,M,Excluded
Cork South-West,2016,Johnny O’ Mahony,M,Excluded
Mayo,2016,Gerry O'Boyle,M,Excluded
Dublin Fingal,2016,Darragh O'Brien,M,Elected
Limerick County,2016,Emmett O'Brien,M,Excluded
Dublin West,2016,Jo O'Brien,F,Excluded
Dublin Fingal,2016,Joe O'Brien,M,Excluded
Cork North-Central,2016,Jonathan O'Brien,M,Elected
Dublin Bay North,2016,Michael O'Brien,M,Excluded
Clare,2016,Niamh O'Brien,F,Excluded
Dún Laoghaire,2016,Shane O'Brien,M,Excluded
Dublin Bay North,2016,Cian O'Callaghan,M,Excluded
Dublin Bay South,2016,Jim O'Callaghan,M,Elected
Dublin Bay North,2016,Proinsias O'Conaráin,M,Excluded
Cavan-Monaghan,2016,Aoife O'Connell,F,Excluded
Dublin Fingal,2016,Fergal O'Connell,M,Excluded
Cork South-Central,2016,Jim O'Connell,M,Excluded
Dublin Bay South,2016,Kate O'Connell,F,Elected
Limerick City,2016,Willie O'Dea,M,Elected
Kerry,2016,Grace O'Donnell,F,Excluded
Limerick City,2016,Kieran O'Donnell,M,Excluded
Limerick County,2016,Richard O'Donoghue,M,Excluded
Dublin South-West,2016,Deirdre O'Donovan,F,Excluded
Limerick County,2016,Patrick O'Donovan,M,Elected
Louth,2016,Fergus O'Dowd,M,Elected
Louth,2016,Michael O'Dowd,M,Excluded
Dublin Central,2016,Diana O'Dwyer,F,Excluded
Cork North-West,2016,Diarmuid O'Flynn,M,Excluded
Dublin South-West,2016,Frank O'Gorman,M,Excluded
Limerick County,2016,John O'Gorman,M,Excluded
Kerry,2016,Michael Pixie O'Gorman,M,Excluded
Dublin West,2016,Roderic O'Gorman,M,Excluded
Sligo-Leitrim,2016,Bernie O'Hara,F,Excluded
Sligo-Leitrim,2016,Leslie V. John O'Hora,M,Excluded
Cork  East,2016,Kevin O'Keeffe,M,Elected
Sligo-Leitrim,2016,Susan O'Keeffe,F,Excluded
Cork North-Central,2016,Julie O'Leary,F,Excluded
Cork North-Central,2016,Paddy O'Leary,M,Excluded
Kildare South,2016,Fiona O'Loughlin,F,Elected
Cork North-Central,2016,Peter O'Loughlin,M,Excluded
Mayo,2016,George O'Malley,M,Excluded
Meath East,2016,Aisling O'Neill,F,Excluded
Dublin Bay North,2016,Damien O'Neill,M,Excluded
Galway West,2016,Ruairí O'Neill,M,Excluded
Cavan-Monaghan,2016,Joe O'Reilly,M,
Dublin Fingal,2016,Louise O'Reilly,F,Elected
Cork North-West,2016,Steven O'Riordan,M,Excluded
Meath East,2016,Darren O'Rourke,M,Excluded
Kildare North,2016,Frank O'Rourke,M,Elected
Sligo-Leitrim,2016,Paddy O'Rourke,M,Excluded
Cork North-West,2016,John Paul O'Shea,M,
Kildare North,2016,Elizabeth O'Sullivan,F,Excluded
Waterford,2016,Grace O'Sullivan,F,Excluded
Limerick City,2016,Jan O'Sullivan,F,Elected
Cork North-West,2016,Jerry O'Sullivan,M,Excluded
Dublin Central,2016,Maureen O'Sullivan,F,Elected
Longford-Westmeath,2016,Dominic Parker,M,Excluded
Longford-Westmeath,2016,Willie Penrose,M,Elected
Dublin Central,2016,Cieran Perry,M,Excluded
Sligo-Leitrim,2016,John Perry,M,Excluded
Cork South-West,2016,Fiona Pettit O’leary,F,Excluded
Carlow-Kilkenny,2016,Ann Phelan,F,Excluded
Carlow-Kilkenny,2016,John Paul Phelan,M,Elected
Cork South-West,2016,Gillian Powell,F,Excluded
Dublin Bay North,2016,Averil Power,F,Excluded
Waterford,2016,Mailo Power,F,Excluded
Limerick City,2016,Cian Prendiville,M,Excluded
Donegal,2016,Thomas Pringle,M,Elected
Dublin South-West,2016,Kieran Adam Quigley,M,Excluded
Waterford,2016,Edward Quilty,M,Excluded
Limerick City,2016,Maurice Quinlivan,M,Elected
Galway East,2016,Anne Rabbitte,F,Elected
Dublin Bay North,2016,Stephanie Bernadette Regan,F,Excluded
Dublin Fingal,2016,James Reilly,M,Excluded
Cavan-Monaghan,2016,Kathryn Reilly,F,Excluded
Sligo-Leitrim,2016,Gerard Reynolds,M,Excluded
Mayo,2016,Michael Ring,M,Elected
Limerick City,2016,Denis Riordan,M,Excluded
Galway East,2016,Annemarie Roche,F,Excluded
Dublin North-West,2016,Noel Rock,M,Elected
Galway West,2016,Tommy Roddy,M,Excluded
Dublin Rathdown,2016,Shane Ross,M,Elected
Dublin Fingal,2016,Brendan Ryan,M,Elected
Dublin Bay South,2016,Eamon Ryan,M,Elected
Dublin Central,2016,Éilis Ryan,F,Excluded
Cork South-Central,2016,Fiona Ryan,F,Excluded
Kildare South,2016,Patricia Ryan,F,Excluded
Offaly,2016,Teresa Ryan-Feehan,F,Excluded
Sligo-Leitrim,2016,Eamon Scanlon,M,Elected
Longford-Westmeath,2016,Mae Sexton,F,Excluded
Dublin Rathdown,2016,Alan Shatter,M,
Mayo,2016,Margaret (Mags) Sheehan,F,Excluded
Donegal,2016,Dessie Sheils,M,Excluded
Galway West,2016,Séamus Sheridan,M,Excluded
Cork  East,2016,Sean Sherlock,M,Elected
Dublin North-West,2016,Róisín Shortall,F,Elected
Dublin South-West,2016,Stephen Sinclair,M,Excluded
Clare,2016,Andres Siro Hakizimana,M,Excluded
Cavan-Monaghan,2016,Brendan Smith,M,Elected
Dublin South-Central,2016,Bríd Smith,F,Elected
Cavan-Monaghan,2016,Emmett Smith,M,Excluded
Clare,2016,Fergal Smith,M,Excluded
Tipperary,2016,Michael Smith,M,Excluded
Offaly,2016,Ken Smollen,M,Excluded
Longford-Westmeath,2016,Barbara Smyth,F,Excluded
Dún Laoghaire,2016,Carrie Smyth,F,Excluded
Dublin Central,2016,Ian Noel Smyth,M,Excluded
Cavan-Monaghan,2016,Mary Smyth,F,Excluded
Cavan-Monaghan,2016,Niamh Smyth,F,Elected
Dún Laoghaire,2016,Ossian Smyth,M,Excluded
Kerry,2016,Arthur J. Spring,M,Excluded
Kildare North,2016,Emmet Stagg,M,Excluded
Laois,2016,Brian Stanley,M,Elected
Cork  East,2016,David Stanton,M,Elected
Limerick County,2016,Alexander Storey-Cosgrave,M,Excluded
Dublin South-West,2016,Joan Summerville-Molloy,F,Excluded
Sligo-Leitrim,2016,Bernard Sweeney,M,Excluded
Dublin Bay South,2016,Eoin Tierney,M,Excluded
Wicklow,2016,Billy Timmins,M,
Dublin Mid-West,2016,Francis Timmons,M,Excluded
Meath West,2016,Peadar Tóibín,M,Elected
Longford-Westmeath,2016,Robert Troy,M,Elected
Dublin Mid-West,2016,Joanna Tuffy,F,Excluded
Cork North-Central,2016,Ted Tynan,M,Excluded
Meath East,2016,Sarah Tyrrell,F,Excluded
Dublin West,2016,Leo Varadkar,M,Elected
Wexford,2016,Deirdre Wadding,F,Excluded
Kildare South,2016,Mark Wall,M,Excluded
Carlow-Kilkenny,2016,Adrienne Wallace,F,Excluded
Wexford,2016,Mick Wallace,M,Elected
Wexford,2016,Ann Walsh,F,Excluded
Waterford,2016,John D Walsh,M,Excluded
Carlow-Kilkenny,2016,Noel G. Walsh,M,Excluded
Dublin South-West,2016,Karen Warren,F,Excluded
Louth,2016,Garrett Weldon,M,Excluded
Laois,2016,John Whelan,M,
Dublin Rathdown,2016,Alex White,M,Excluded
Dublin Rathdown,2016,Mary White,F,Excluded
Dún Laoghaire,2016,Raymond Whitehead,M,Excluded
Cavan-Monaghan,2016,John Wilson,M,Excluded
Louth,2016,Maeve Yore,F,Excluded
Kildare North,2016,Brendan Young,M,Excluded
Dublin South-West,2016,Katherine Zappone,F,Elected
